Period,Date,MonthID,Category,Manufacturer,MOLECULE,SKU,Units,Sales
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ACCORD HEALTHCARE,ONDANSETRON,ONDANSETRON ACCORD AMPOULE 4 MG 10 X 2 ML,25,1071.025
OCT23-SEP24,1/04/2024,202404,ALIMENTARY T.& METABOLISM,ACCORD HEALTHCARE,ONDANSETRON,ONDANSETRON ACCORD AMPOULE 4 MG 10 X 2 ML,67,2327.20778
OCT24-SEP25,1/02/2025,202502,ALIMENTARY T.& METABOLISM,ACCORD HEALTHCARE,ONDANSETRON,ONDANSETRON ACCORD AMPOULE 8 MG 10 X 4 ML,67,2939.31447
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,COLECALCIFEROL,VITAMIN D3 WEEKLY SOFT GEL CAPSULES 7000 IU 30,1862,40302.21571
OCT23-SEP24,1/02/2024,202402,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,COLECALCIFEROL,VITAMIN D3 WEEKLY SOFT GEL CAPSULES 7000 IU 30,1923,41622.50669
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 100,431,27769.7714
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 6,7109,56411.09935
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 6,8977,71233.03268
OCT24-SEP25,1/08/2025,202508,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 6,9393,74408.39918
OCT24-SEP25,1/09/2025,202509,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 6,10040,79534.86236
